\\Hourly Nodal Prices Report,,,,,,,,,,,,,,,,
\\Created at 2020-02-28 08:01:10,,,,,,,,,,,,,,,,
\\For 2020,,,,,,,,,,,,,,,,
Zones,,Reference,North West,North West,North West,North East,North East,North East,Ottawa,East,Toronto,Essa,Bruce,South West,Niagara,West
Date,Hour,Richview,Atikokan,Pineportage,Thunderbay,Andrews,Canyon,NPIroqfalls,TAOHSC,Saunders,Darlington,Desjoachims,BruceB,GerdauCam,BECK2,Greenfield
2020-01-21,15,14.84,12.48,12.17,12.80,13.75,14.41,14.14,14.84,14.70,14.84,14.70,14.41,14.84,14.55,14.84
2020-01-21,16,13.65,11.47,10.15,11.77,12.64,13.26,13.00,13.65,13.52,13.65,13.52,13.26,13.65,13.38,13.65
2020-01-21,17,8.62,7.25,5.30,7.43,7.98,8.37,8.21,8.62,8.54,8.62,8.54,8.37,8.62,8.45,8.62
2020-01-21,18,4.56,3.83,3.74,3.93,4.22,4.43,4.34,4.56,4.52,4.56,4.52,4.43,4.56,4.47,4.56
2020-01-21,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-21,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-21,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-21,22,5.62,4.72,4.61,4.85,5.20,5.45,5.35,5.62,5.56,5.62,5.56,5.45,5.62,5.51,5.62
2020-01-21,23,3.17,2.66,2.60,2.73,2.93,3.08,3.02,3.17,3.14,3.17,3.14,3.08,3.17,3.11,3.17
2020-01-21,24,2.52,2.11,2.06,2.17,2.33,2.44,2.40,2.52,2.49,2.52,2.49,2.44,2.52,2.47,2.52
2020-01-22,1,1.98,1.66,1.62,1.71,1.83,1.92,1.88,1.98,1.96,1.98,1.96,1.92,1.98,1.94,1.98
2020-01-22,2,2.51,2.11,2.06,2.16,2.32,2.44,2.39,2.51,2.48,2.51,2.48,2.44,2.51,2.46,2.51
2020-01-22,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-22,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-22,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-22,6,0.00,1.05,1.20,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-22,7,4.15,3.49,2.96,3.58,3.84,4.03,3.95,4.15,4.11,4.15,4.11,4.03,4.15,4.07,4.15
2020-01-22,8,13.62,11.45,5.83,11.74,12.61,13.22,12.97,13.62,13.48,13.62,13.48,13.22,13.62,13.35,13.62
2020-01-22,9,8.40,7.06,6.00,7.24,7.78,8.15,8.00,8.40,8.32,8.40,8.32,8.15,8.40,8.23,8.40
2020-01-22,10,11.11,9.34,6.23,9.58,10.29,10.79,10.58,11.11,11.00,11.11,11.00,10.79,11.11,10.89,11.11
2020-01-22,11,15.36,12.91,5.83,13.24,14.23,14.92,14.63,15.36,15.21,15.36,15.21,14.92,15.36,15.06,15.36
2020-01-22,12,9.38,7.88,5.01,8.09,8.69,9.11,8.94,9.38,9.29,9.38,9.29,9.11,9.38,9.20,9.38
2020-01-22,13,3.18,2.68,1.86,2.75,2.95,3.09,3.03,3.18,3.15,3.18,3.15,3.09,3.18,3.12,3.18
2020-01-22,14,0.00,1.08,4.92,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-22,15,5.76,6.27,5.44,4.97,5.80,5.59,5.49,5.76,5.70,5.76,5.70,5.59,5.76,5.65,5.76
2020-01-22,16,11.28,9.47,5.67,9.72,10.44,10.95,10.74,11.28,11.16,11.28,11.16,10.95,11.28,11.05,11.28
2020-01-22,17,8.94,7.51,4.66,7.71,8.28,8.68,8.52,8.94,8.85,8.94,8.85,8.68,8.94,8.76,8.94
2020-01-22,18,15.30,12.85,5.83,13.19,14.16,14.85,14.57,15.30,15.14,15.30,15.14,14.85,15.30,15.00,15.30
2020-01-22,19,13.76,11.57,5.83,11.87,12.74,13.36,13.11,13.76,13.63,13.76,13.63,13.36,13.76,13.49,13.76
2020-01-22,20,12.43,10.44,5.77,10.71,11.50,12.06,11.83,12.43,12.30,12.43,12.30,12.06,12.43,12.18,12.43
2020-01-22,21,13.01,10.93,6.65,11.21,12.04,12.62,12.39,13.01,12.87,13.01,12.87,12.62,13.01,12.75,13.01
2020-01-22,22,21.42,18.00,5.83,18.47,19.84,20.80,20.40,21.42,21.21,21.42,21.21,20.80,21.42,21.00,21.42
2020-01-22,23,13.78,11.58,5.85,11.88,12.76,13.37,13.12,13.78,13.64,13.78,13.64,13.37,13.78,13.51,13.78
2020-01-22,24,9.31,7.82,5.39,8.02,9.18,9.03,8.86,9.31,9.21,9.31,9.21,9.03,9.31,9.12,9.31
2020-01-23,1,0.00,0.00,3.25,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-23,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-23,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
